exam_name,date,avg_quiz_responses,polls_count
parichay,2026-01-05,966.1,7
parichay,2026-01-08,876.3,7
parichay,2026-01-12,790.4,7
parichay,2026-01-15,762.9,7
parichay,2026-01-19,759.7,7
parichay,2026-01-22,752.9,7
parichay,2026-01-26,724.0,7
parichay,2026-01-29,723.9,7
parichay,2026-02-02,685.9,7
parichay,2026-02-05,629.1,7
parichay,2026-02-09,661.4,7
parichay,2026-02-12,658.9,7
parichay,2026-02-16,629.6,8
parichay,2026-02-19,618.6,8
prarambh,2026-01-05,1907.3,7
prarambh,2026-01-08,1727.4,7
prarambh,2026-01-12,1553.3,7
prarambh,2026-01-15,1510.6,7
prarambh,2026-01-19,1479.0,7
prarambh,2026-01-22,1354.3,7
prarambh,2026-01-26,1284.1,7
prarambh,2026-01-29,1292.7,7
prarambh,2026-02-02,1233.1,7
prarambh,2026-02-05,1151.1,7
prarambh,2026-02-09,1136.7,7
prarambh,2026-02-12,1101.6,7
prarambh,2026-02-16,1007.1,8
prarambh,2026-02-19,1013.6,8
pravesh,2026-01-05,1256.7,7
pravesh,2026-01-08,1058.9,7
pravesh,2026-01-12,1001.9,7
pravesh,2026-01-15,947.9,7
pravesh,2026-01-19,919.4,7
pravesh,2026-01-22,921.3,7
pravesh,2026-01-26,870.3,7
pravesh,2026-01-29,880.7,7
pravesh,2026-02-02,836.0,7
pravesh,2026-02-05,793.9,7
pravesh,2026-02-09,804.0,7
pravesh,2026-02-12,807.6,7
pravesh,2026-02-16,757.2,8
pravesh,2026-02-19,724.0,8
pravin,2026-01-05,1432.6,7
pravin,2026-01-08,1286.0,7
pravin,2026-01-12,1170.1,7
pravin,2026-01-15,1135.6,7
pravin,2026-01-19,1166.9,7
pravin,2026-01-22,1138.0,7
pravin,2026-01-26,1049.9,7
pravin,2026-01-29,1077.0,7
pravin,2026-02-02,1056.3,7
pravin,2026-02-05,1027.3,7
pravin,2026-02-09,1001.3,7
pravin,2026-02-12,983.1,7
pravin,2026-02-16,1006.8,8
pravin,2026-02-19,999.6,8
