quiz_num,Exam Name,Book Name,Chapter Name,chapter_no,question,option0,option1,option2,option3,answer,page_no,true_sentence,answer index
1,પરિચય,સહજાનંદ ચરિત્ર,"""પહેલું - સ્વા.નું ભજન, મહા.નું વર્તન, સત્સંગ-પ્રચાર, નરકના કુંડ ખાલી કર્યા",1,સહજાનંદ સ્વામીએ સૌને 'સ્વામિનારાયણ' નામનો મંત્ર ક્યાં અને ક્યારે આપ્યો?,સંવત ૧૮૫૮ માગશર સુદ દશમ - કારિયાણી,સંવત ૧૮૫૮ માગશર વદ એકાદશી - ફણેણી,સંવત ૧૮૫૮ કાર્તિક વદ એકાદશી - લોજ,સંવત ૧૮૫૮ માગશર સુદ એકાદશી - ગઢડા,સંવત ૧૮૫૮ માગશર વદ એકાદશી - ફણેણી,3,,1
1,પરિચય,સહજાનંદ ચરિત્ર,"""પહેલું - સ્વા.નું ભજન, મહા.નું વર્તન, સત્સંગ-પ્રચાર, નરકના કુંડ ખાલી કર્યા",1,શ્રીજી મહારાજે 'સ્વામિનારાયણ' નામ કહી ભૂત-યોનિને પામેલા સૌ જીવોનો મોક્ષ કરી ભુમાપુરુષના લોકમાં મોકલી આપવાની આજ્ઞા કોને કરી?,સ્વરૂપપ્રકાશાનંદ સ્વામીને,સ્વયંપ્રકાશાનંદ સ્વામીને,સ્વરૂપનિષ્ઠાનાનંદ સ્વામીને,સ્વરૂપાનંદ સ્વામીને,સ્વરૂપાનંદ સ્વામીને,5,,3
1,પરિચય,સહજાનંદ ચરિત્ર,"""બીજું - મગનીરામ, રામચંદ્ર શેઠ, સમાધિ પ્રક., લોજમાં અન્નકૂટ, મુક્તાનંદ સ્વામી, હરબાઈ-વાલબાઈ, બે સ્વરુપે દર્શન""",2,"કોણ કોને કહે છે? - ""અમે સિધ્ધાઈ કરતા નથી. અમે તો જીવોને ઉપદેશ આપી ધર્મને માર્ગે વાળીએ છીએ.""",ગુંસાઈજી-મગનીરામને,મગનીરામ-ગુંસાઈજીને,શ્રીજી મહારાજ - મગનીરામને,શ્રીજીમહારાજ-ગુંસાઈજીને,શ્રીજીમહારાજ-મગનીરામને,8,,2
1,પરિચય,સહજાનંદ ચરિત્ર,"""બીજું - મગનીરામ, રામચંદ્ર શેઠ, સમાધિ પ્રક., લોજમાં અન્નકૂટ, મુક્તાનંદ સ્વામી, હરબાઈ-વાલબાઈ, બે સ્વરુપે દર્શન""",2,મગનીરામે જોડાની ગાંસડી માથે લઈ કોની પાંચ પ્રદક્ષિણા કરી?,લીમડાની,શ્રીજી મહારાજની,સંતોની,હરિભક્તોની,સંતોની,10,,2
1,પરિચય,સહજાનંદ ચરિત્ર,"""બીજું - મગનીરામ, રામચંદ્ર શેઠ, સમાધિ પ્રક., લોજમાં અન્નકૂટ, મુક્તાનંદ સ્વામી, હરબાઈ-વાલબાઈ, બે સ્વરુપે દર્શન""",2,શ્રીજી મહારાજે બે સ્વરૂપે દર્શન ક્યાં આપ્યા હતા?,માણાવદર અને માંગરોળ,પીપલાણા અને ધોરાજી,મેઘપુર અને ફણેણી,આખા અને પીપલાણા,આખા અને પીપલાણા,19,,3
1,પરિચય,સહજાનંદ ચરિત્ર,"""ત્રીજું - ફકીરને પરચો, સદાવ્રત, દૂધ કરતાં મીઠી છાશ, સુંદરજી સુતાર, મૂળજી શેઠ, લાલજી સુતાર""",3,"શ્રીજીમહારાજે મૂળજી શેઠ, હંસરાજ સુથાર, શ્યામો અગોલો, શ્યામો કણસાગરોને કારિયાણી ગામ છોડીને ચાલ્યા જવાની આજ્ઞા કરી.",સાચું,ખોટું,,,ખોટું,24,"શ્રીજીમહારાજે મૂળજી શેઠ, હંસરાજ સુથાર, શ્યામો અગોલો, શ્યામો કણસાગરોને મેમકા ગામ છોડીને ચાલ્યા જવાની આજ્ઞા કરી.",1
1,પરિચય,સહજાનંદ ચરિત્ર,"""ત્રીજું - ફકીરને પરચો, સદાવ્રત, દૂધ કરતાં મીઠી છાશ, સુંદરજી સુતાર, મૂળજી શેઠ, લાલજી સુતાર""",3,....................... ની પાસે તેમના જ સાસરેથી ભિક્ષા મંગાવી શ્રીજી મહારાજ રોટલો જમ્યાં.,બ્રહ્માનંદ સ્વામી,સુખાનંદ સ્વામી,નિષ્કુળાનંદ સ્વામી,પ્રેમાનંદ સ્વામી,નિષ્કુળાનંદ સ્વામી,26,,2
2,પરિચય,કિશોર સત્સંગ પરિચય,શિક્ષાપત્રી,1,....................... કાર્ય તત્કાળ કરવું.,ધર્મ સંબંધી,વ્યવહારીક,સેવાનું,આધ્યાત્મિક,ધર્મ સંબંધી,3,,0
2,પરિચય,કિશોર સત્સંગ પરિચય,શિક્ષાપત્રી,1,શ્રીજીના આશ્રિતોએ .................. જણા આવે ત્યારે સન્મુખ ઊઠીને આસન આપવું.,ચાર,છ,પાંચ,સાત,છ,2,,1
2,પરિચય,કિશોર સત્સંગ પરિચય,ગલુજી,3,"કોણ કોને કહે છે? - ""મહારાજ ! આ ગલુજીનું કયું કામ અધૂરૂં હતું?""",ગરાસિયા -શ્રીજીમહારાજને,મુક્તાનંદ સ્વામી-શ્રીજીમહારાજને,સંતો-શ્રીજીમહારાજને,મુક્તાનંદ સ્વામી - ગરાસિયાને,મુક્તાનંદ સ્વામી-શ્રીજીમહારાજને,8,,1
2,પરિચય,કિશોર સત્સંગ પરિચય,ગલુજી,3,ગલુજી રાજપૂત વડસર ગામના હરિભક્ત હતા.,ખોટું,સાચું,,,ખોટું,7,ગલુજી રાજપૂત ડડુસર ગામના હરિભક્ત હતા.,0
2,પરિચય,કિશોર સત્સંગ પરિચય,ભાલચંદ્ર શેઠ (ભાલચંદ્રભાઈ),4,જેણે પોતાનું કલ્યાણ ઈચ્છવું હોય તેણે ................. સહિત ભક્તિ કરવી.,જ્ઞાને,ધર્મે,ભક્તે,વૈરાગ્યે,ધર્મે,11,,1
2,પરિચય,કિશોર સત્સંગ પરિચય,મૂર્તિપૂજા,5,મૂર્તિમાં ................ સાક્ષાત્ નિવાસ કરીને રહ્યા છે.,દેવ,પરમાત્મા,પ્રભુ,ભગવાન,પરમાત્મા,12,,1
2,પરિચય,પ્રાગજી ભગત,જન્મ અને બાળચરિત્રો,1,મહુવા સ્વામિનારાયણ મંદિરમાં પ્રાગજી ભક્તને કોનો ભેટો થયો. ?,રધુવીરજી મહારાજનો,સદગુરુ ગોપાળાનંદ સ્વામીનો,સદગુરુ યોગાનંદ સ્વામીનો,સદગુરુ મુક્તાનંદ સ્વામી,સદગુરુ યોગાનંદ સ્વામીનો,2,,2
3,પરિચય,પ્રાગજી ભગત,જૂનાગઢમાં ગુણાતીતાનંદ સ્વામી પાસે,3,"કોણ કોને કહે છે? - ""આ વનનું મૃગલું ક્યાંથી આવ્યું?""",ગુણાતીતાનંદ સ્વામી - જાગા ભક્તને,ગુણાતીતાનંદ સ્વામી - પ્રાગજી ભક્તને,ગુણાતીતાનંદ સ્વામી - સિદ્ધાનંદ સ્વામીને,ગુણાતીતાનંદ સ્વામી - રધુવીરજી મહારાજને,ગુણાતીતાનંદ સ્વામી - પ્રાગજી ભક્તને,6,,1
3,પરિચય,પ્રાગજી ભગત,જૂનાગઢમાં ગુણાતીતાનંદ સ્વામી પાસે,3,જૂનાગઢમાં સંવત 1911ની સાલમાં આઠ માસ રહી સ્વામીએ સ્વરૂપનિષ્ઠાની અને એકાંતિક ભક્તિની અદ્ભુત વાતો કરી.,સાચું,ખોટું,,,ખોટું,6,વરતાલમાં સંવત 1911ની સાલમાં સાત માસ રહી સ્વામીએ સ્વરૂપનિષ્ઠાની અને એકાંતિક ધર્મની અદ્ભભુત વાતો કરી.,1
3,પરિચય,પ્રાગજી ભગત,સદ્ગુરુ ગોપાળાનંદ સ્વામીનાં યોગમાં,2,વરતાલ સમૈયામાં ન જઈ શકવાથી પ્રાગજી ભક્ત સ્વામીના દર્શન માટે પછી ક્યાં પહોંચ્યા ?,ખાંભડા,બરવાળા,બોટાદ,જૂનાગઢ,ખાંભડા,6,,0
3,પરિચય,પ્રાગજી ભગત,અક્ષરવરની માગણી,5,ગઢપુરમાં હરિકૃષ્ણ મહારાજની મૂર્તિ ક્યારે પધરાવી ?,સંવત ૧૮૧૬,સંવત ૧૯૦૮,સંવત ૧૯૧૬,સંવત ૧૮૦૬,સંવત ૧૯૧૬,8,,2
3,પરિચય,પ્રાગજી ભગત,ગુરુવચને ચૂરેચૂરા,6,"સ્વામીએ કહ્યું, ‘પ્રાગજી, ચૂનાની ભઠ્ઠી કાઢવી છે તે ........ પાવડા અને પાંચસો ટોપલા તૈયાર કર.",ત્રણસો,પાંચસો,બસો,ચારસો,બસો,11,,2
3,પરિચય,સત્સંગ વાંચન માળા ૨,વિદ્યાવારિધિ સદ્. શ્રી નિત્યાનંદ સ્વામી,1,નિત્યાનંદ સ્વામીનો જન્મ ........................ ગામમાં થયો હતો,દોરા,દતિયા,ઉમેજ,આંબરડી,દતિયા,1,,1
3,પરિચય,સત્સંગ વાંચન માળા ૨,વિદ્યાવારિધિ સદ્. શ્રી નિત્યાનંદ સ્વામી,1,"કોણ કોને કહે છે? - ""આ ક્યાં સાલેમાળ છે ? આ તો અક્ષર ઓરડી છે. ગપ્પાં શું મારો છો.""",નિષ્કુળાનંદ સ્વામી -નિત્યાનંદ સ્વામીને,શ્રીજીમહારાજ -શુકમુનિ સ્વામીને,શ્રીજીમહારાજ -નિત્યાનંદ સ્વામીને,શ્રીજીમહારાજ - મુક્તાનંદ સ્વામીને,શ્રીજીમહારાજ -નિત્યાનંદ સ્વામીને,5,,2
4,પરિચય,સત્સંગ વાંચન માળા ૨,પ્રેમસખી પ્રેમાનંદ,2,પ્રેમાનંદ સ્વામીને શ્રીજીમહારાજનો પ્રથમ યોગ કયારે થયો હતો?,જેતપુરમાં સહજાનંદ સ્વામીને ધર્મધૂરા સોંપી તે સમયે,જેતપુરમાં રામાનંદ સ્વામીએ નીલકંઠવર્ણીને દીક્ષા આપી ત્યારે,ડભાણમાં ગુણાતીતાનંદ સ્વામીને દીક્ષા આપવાના હતા તે સમયે,જેતલપુરમાં રામાનંદ સ્વામીએ નીલકંઠવર્ણીને દીક્ષા આપી ત્યારે,જેતપુરમાં સહજાનંદ સ્વામીને ધર્મધૂરા સોંપી તે સમયે,9,,0
4,પરિચય,સત્સંગ વાંચન માળા ૨,પ્રેમસખી પ્રેમાનંદ,2,પ્રેમાનંદ સ્વામીએ મહારાજની મૂર્તિના રોજ કેટલા પદ રચવાનો નિયમ લીધો હતો?,ચાર,છ,આઠ,પાંચ,આઠ,12,,2
4,પરિચય,સત્સંગ વાંચન માળા ૨,મૂળજી બ્રહ્મચારી,2,મૂળજી બ્રહ્મચારીનો જન્મ ક્યાં અને કયારે થયો હતો. ?,ભાદરા ગામે સંવત ૧૮૨૨માં,મછિયાવ ગામે સંવત ૧૮૨૨માં,મછિયાવ ગામે સંવત ૧૮૩૨માં,ભાદરા ગામે સંવત ૧૮૩૨માં,મછિયાવ ગામે સંવત ૧૮૨૨માં,21,,1
4,પરિચય,સત્સંગ વાંચન માળા ૨,મૂળજી બ્રહ્મચારી,2,"કોણ કોને કહે છે? - ""મારે તો અખંડ બ્રહ્મચર્ય પાળી ભગવાન ભજવા છે પણ ગૃહસ્થાશ્રમ કરવો નથી.""",મૂળજી બ્રહ્મચારી-પોતાના પિતાને,દિનમણિ-પત્નીને,મૂળજીભાઈ-પોતાના પિતાને,કિશોર-પિંજારાને,મૂળજીભાઈ-પોતાના પિતાને,22,,2
4,પરિચય,સહજાનંદ ચરિત્ર,ચોથું - કારિયાણી અને ગઢડામાં પધરામણી,4,ધર્મધૂરા ધારણ કર્યા બાદ....................... ના દિવસે મહારાજ પ્રથમવાર ગઢડા પધાર્યા.,સંવત ૧૮૪૯ કાર્તિક સુદ ૧૧,સંવત ૧૮૬૧ કાર્તિક સુદ ૧૧,સંવત ૧૮૬૧ મહા સુદ ૧૧,સંવત ૧૮૪૯ મહા સુદ ૧૧,સંવત ૧૮૬૧ મહા સુદ ૧૧,26,,2
4,પરિચય,સહજાનંદ ચરિત્ર,"""પાંચમું - કલ્પિત ભય, વાસુદેવ નારાયણ, સારા પદાર્થનો ત્યાગ, વ્યસનમુક્તિની રીત""",5,સત્સંગીની ટકોરથી મૂળુખાચરે દારૂનું વ્યસન છોડ્યું.,ખોટું,સાચું,,,ખોટું,32,,0
4,પરિચય,સહજાનંદ ચરિત્ર,"""છઠ્ઠું - ભટ્ટજીની મૂંઝવણ, બાળહત્યા બંધ, સતીપ્રથાની નાબૂદી, પરમહંસ દીક્ષા""",6,દીકરીને દૂધપીતી કરવાથી પાંચ પ્રકારની હત્યા કર્યાનું પાપ લાગે છે.,ખોટું,સાચું,,,ખોટું,33,,0
