quiz_num,Exam Name,Book Name,Chapter Name,chapter_no,question,option0,option1,option2,option3,answer,page_no,true_sentence,answer index
1,પ્રારંભ,ઘનશ્યામ ચરિત્ર,ઘનશ્યામનો જન્મ,1,ઘનશ્યામના જન્મની તિથિ તથા સંવત જણાવો.,આસો સુદ નવમી સંવત ૧૮૪૯,ચૈત્ર સુદ નવમી સંવત ૧૮૩૭,શ્રાવણ વદ નવમી સંવત ૧૭૮૧,શ્રાવણ સુદ નવમી સંવત ૧૭૪૧,ચૈત્ર સુદ નવમી સંવત ૧૮૩૭,1,,1
1,પ્રારંભ,ઘનશ્યામ ચરિત્ર,ઘનશ્યામનો જન્મ,1,ઘનશ્યામ મહારાજનો જન્મ કેટલા વાગે થયો હતો ?,બપોરના બાર વાગે.,રાતના દશ વાગે.,રાતના બાર વાગે.,સવારે દશ વાગે.,રાતના દશ વાગે.,1,,1
1,પ્રારંભ,ઘનશ્યામ ચરિત્ર,ઘનશ્યામનો જન્મ,1,ધર્મદેવના પુત્રના દર્શન કરવા ................ વિમાનમાં બેસીને આવ્યા.,દેવો,દાનવો,હનુમાનજી,કૃત્યાઓ,દેવો,3,,0
1,પ્રારંભ,ઘનશ્યામ ચરિત્ર,બાળપ્રભુનું પરાક્રમ,2,કાલિદત્તે બાળપ્રભુને મારી નાખવા કઈ મોટી કૃત્યાને મોકલી?,પૂતના,કાલિ,તાડકા,કોટરા,કોટરા,4,,3
1,પ્રારંભ,ઘનશ્યામ ચરિત્ર,બાળપ્રભુનું પરાક્રમ,2,"કોણ કોને કહે છે? - ""હવે અમે છપૈયા બાળપ્રભુને લેવા નહીં જઈએ.""",કૃત્યાઓ - હનુમાનજીને,કોટરા - કાલિદત્તને,કૃત્યાઓ - કાલિદત્તને,કાલિદત્ત - હનુમાનજીને,કૃત્યાઓ - કાલિદત્તને,4,,2
1,પ્રારંભ,ઘનશ્યામ ચરિત્ર,રામદયાળને દર્શન,3,"કોણ કોને કહે છે? - ""હજી તો ફક્ત અઢી માસના જ થયા છે.""",ધર્મદેવ - ઘનશ્યામને,ધર્મદેવ - કાલીદત્તને,ધર્મદેવ - રામદયાળને,ધર્મદેવ-માર્કંડેય ઋષિને,ધર્મદેવ - રામદયાળને,6,,2
1,પ્રારંભ,ઘનશ્યામ ચરિત્ર,પ્રભુનું નામ પાડયું,4,"તમારા પુત્રમાં તપ, ત્યાગ, યોગ, ધર્મ, નીતિ, સત્ય, વિવેક બધા જ ગુણો છે તેથી ..................... નામથી જાણીતા થશે.",હરિ,હરિકૃષ્ણ,નીલકંઠ,કૃષ્ણ,નીલકંઠ,7,,2
2,પ્રારંભ,ઘનશ્યામ ચરિત્ર,પ્રભુનું નામ પાડયું,4,બાળપ્રભુનું નામ કયા મુનિએ પાડ્યું હતું?,વિશ્વામિત્ર,માર્કંડેય,વસિષ્ઠ,પરાશર,માર્કંડેય,7,,1
2,પ્રારંભ,ઘનશ્યામ ચરિત્ર,પુત્રની પરીક્ષા,5,"બાજોઠ ઉપર એક પુસ્તક, એક નાનું ફૂલ અને એક સોનામહોર મૂકી.",ખોટું,સાચું,,,ખોટું,8,"બાજોઠ ઉપર એક પુસ્તક, એક સોનામહોર અને એક નાની તલવાર મૂકી.",0
2,પ્રારંભ,કિશોર સત્સંગ પ્રારંભ,ભગવાનની ભેટ,1,ભગવાને આપણને શું શું મફત આપ્યું છે?,ખોરાક અને બુદ્ધિ,ફળ-ફૂલ,હવા અને પાણી,"ખોરાક, હવા અને પાણી",હવા અને પાણી,1,,2
2,પ્રારંભ,કિશોર સત્સંગ પ્રારંભ,ભગવાનની ભેટ,1,"હું _____ છું, _______ છું મારે ડરવાનું શેનું ?","આત્મા,અમર","આત્મા,નાશવંત","દેહ,આત્મા","અક્ષર, આત્મા","આત્મા,અમર",0,,0
2,પ્રારંભ,કિશોર સત્સંગ પ્રારંભ,ભગવાનની ભેટ,1,"મા-બાપે આમ, આપણા ઉપર ઘણા ઉપકાર કર્યા છે.",ખોટું,સાચું,,,ખોટું,1,"ભગવાને આમ, આપણા ઉપર ઘણા ઉપકાર કર્યા છે.",0
2,પ્રારંભ,કિશોર સત્સંગ પ્રારંભ,ધૂન,2,સહજાનંદ સ્વામીને આપણે શું કહીએ છીએ?,અક્ષર બ્રહ્મ,આત્મા,"નારાયણ, પુરષોત્તમ, પરમાત્મા અને પરબ્રહ્મ",પરમાત્મા અને પરબ્રહ્મ,"નારાયણ, પુરષોત્તમ, પરમાત્મા અને પરબ્રહ્મ",3,,2
2,પ્રારંભ,કિશોર સત્સંગ પ્રારંભ,પ્રાર્થના,3,પ્રાર્થના કરતી વખતે આપણે આંખો બંધ કરી સ્થિર બેસવું જોઈએ.,સાચું,ખોટું,,,ખોટું,0,પ્રાર્થના કરતી વખતે આપણે પલાંઠીવાળી સ્થિર બેસવું જોઈએ.,1
3,પ્રારંભ,કિશોર સત્સંગ પ્રારંભ,પ્રાર્થના,3,પ્રાર્થના એટલે શું ?,ભગવાનને પગે લાગવું.,ભગવાની સ્તુતિ કરવી.,શુધ્ધ હૃદયથી ભગવાન પાસે માગણી કરવી.,ભગવાનને પ્રાર્થના કરવી,શુધ્ધ હૃદયથી ભગવાન પાસે માગણી કરવી.,4,,2
3,પ્રારંભ,કિશોર સત્સંગ પ્રારંભ,પરબ્રહ્મ પુરુષોત્તમ સહજાનંદ સ્વામી,4,નીલકંઠ બ્રહ્મચારી અને રામાનંદ સ્વામીનું ­પ્રથમ મિલન કયાં થયું ?,પીપલાણામાં,ભૂજમાં,લોજમાં,જેતપુરમાં,પીપલાણામાં,6,,0
3,પ્રારંભ,કિશોર સત્સંગ પ્રારંભ,પરબ્રહ્મ પુરુષોત્તમ સહજાનંદ સ્વામી,4,શ્રીજીમહારાજે ..................માં મંદિર કરી પોતાની મૂર્તિ પધરાવી.,અમદાવાદ,ગઢડા,વડતાલ,ભુજમાં,વડતાલ,7,,2
