quiz_num,Exam Name,Book Name,Chapter Name,chapter_no,question,option0,option1,option2,option3,answer,page_no,true_sentence,answer index
1,પ્રવેશ,નીલકંઠ ચરિત્ર,સ્વજનોને મારા કુશળ સમાચાર આપજો,1,નીલકંઠે વિ.સં. ૧૮૪૮ના આષાઢ સુદ ૧૦ ના દિવસે ગૃહત્યાગ કર્યો.,ખોટું,સાચું,,,સાચું,1,,1
1,પ્રવેશ,નીલકંઠ ચરિત્ર,સ્વજનોને મારા કુશળ સમાચાર આપજો,1,"કોણ કોને કહે છે? - ""તમે ક્યારના આવ્યા છો?""",કૌશિક રાક્ષસી -નીલકંઠવર્ણીને,નીલકંઠવર્ણી -હનુમાનજીને,હનુમાનજી -નીલકંઠવર્ણીને,નીલકંઠવર્ણી - મિત્રોને,નીલકંઠવર્ણી -હનુમાનજીને,2,,1
1,પ્રવેશ,નીલકંઠ ચરિત્ર,ત્યાગીને આકાશવૃત્તિ કે અજગરવૃત્તિ જાઈએ,2,ત્યાગીને આકાશવૃતિ કે ................. જ જોઈએ.,અજગરવૃતિ,અંતદૃષ્ટિ,બાહ્નાવૃત્તિ,આંતર્વૃત્તિ,અજગરવૃતિ,2,,0
1,પ્રવેશ,નીલકંઠ ચરિત્ર,વેણીરામને દર્શન આપ્યાં અને રઘુનંદનને સજીવન કર્યો,3,વેણીરામના પિતાનું નામ શું હતુ. ?,ઈચ્છારામ,મોતીરામ,રઘુનંદન,વેણીરામ,મોતીરામ,3,,1
1,પ્રવેશ,નીલકંઠ ચરિત્ર,તપસ્વીઓની દિવ્ય ગતિ,4,હેબતાઈ ગયેલા તપસ્વીઓ ઝોળીમાં પડ્યા પડ્યા ભગવાનને સંભારવા લાગ્યા.,ખોટું,સાચું,,,ખોટું,8,હેબતાઈ ગયેલા તપસ્વીઓ ઝોળીમાં પડ્યા પડ્યા નીલકંઠને ભગવાનરૂપે સંભારવા લાગ્યા.,0
1,પ્રવેશ,નીલકંઠ ચરિત્ર,તપસ્વીઓની દિવ્ય ગતિ,4,એક અર્ધરાત્રિએ નીલકંઠ પાસે શું આવ્યું જે ચિત્કાર કરીને નીલકંઠની પ્ર­દક્ષિણા કરીને વડના ઝાડ પાસે બેઠું. ?,ઝરખ,વાઘ,સિંહ,રીંછ,ઝરખ,8,,0
1,પ્રવેશ,નીલકંઠ ચરિત્ર,બદરીનાથ ધામની વાટે,5,................. વેશ ધારણ કરી મહાદેવજી અને પાર્વતી નીલકંઠની ઘણા દિવસ સેવા કરી.,તપસ્વી,બ્રાહ્મણ,વણિક,બટુક,બ્રાહ્મણ,10,,1
2,પ્રવેશ,કિશોર સત્સંગ પ્રવેશ,શિક્ષાપત્રી,1,અહિંસા યુક્ત વર્તવું તે ધર્મ મોક્ષપરાયણ છે. વચનામૃત ............,વચ.ગ.પ્ર.૬૯,વચ.ગ.પ્ર.૯૬,વચ.ગ.મ.૨૫,વચ.ગ.પ્ર ૨૫,વચ.ગ.પ્ર.૬૯,5,,0
2,પ્રવેશ,કિશોર સત્સંગ પ્રવેશ,શિક્ષાપત્રી,1,શ્રીજી મહારાજે કહ્યું ‘ધર્મ એટલે સુવિચાર’,ખોટું,સાચું,,,ખોટું,1,શ્રીજી મહારાજે કહ્યું ‘ધર્મ એટલે સદાચાર’,0
2,પ્રવેશ,કિશોર સત્સંગ પ્રવેશ,સગરામ,2,"કોણ કોને કહે છે? - ""અમે તો સ્વામિનારાયણના ભગત, અમારો ધરમ સાચવીએ""",લોકોએ-સગરામને,સગરામે-લોકોને,સગરામ - મહારાજને,સગરામ - દરબારને,સગરામે-લોકોને,12,,1
2,પ્રવેશ,કિશોર સત્સંગ પ્રવેશ,વ્યાકપાનંદ સ્વામી,3,શીતળદાસ ને ભાગવતી દીક્ષા આપી મહારાજે .............. નામ પાડ્યું.,અખંડાનંદ,વ્યાપકાનંદ,સ્વરૂપાનંદ,અમોધાનંદ,વ્યાપકાનંદ,14,,1
2,પ્રવેશ,કિશોર સત્સંગ પ્રવેશ,વ્યાકપાનંદ સ્વામી,3,શીતળદાસને ભાગવતી દીક્ષા આપી રામાનંદ સ્વામીએ તેમનું નામ ‘વ્યાપકાનંદ સ્વામી’ પાડ્યું.’,ખોટું,સાચું,,,ખોટું,14,શીતળદાસને ભાગવતી દીક્ષા આપી મહારાજે તેમનું નામ ‘વ્યાપકાનંદ સ્વામી’ પાડ્યું.’,0
2,પ્રવેશ,કિશોર સત્સંગ પ્રવેશ,ગોડી,4,ભવ દુઃખ ટળે બળે સબ દુષ્કૃત સબવિધિ કારજ સીજે.,ખોટું,સાચું,,,સાચું,16,,1
2,પ્રવેશ,શાસ્ત્રીજી મહારાજ,પૂર્વભૂમિકા,1,શુદ્ધ ઉપાસના એટલે અક્ષરરૂપ થઈ .............. ભક્તિ કરવી.,શાસ્ત્રીજી મહારાજની,પુરુષોત્તમની,ભગવાનની,,પુરુષોત્તમની,1,,1
3,પ્રવેશ,શાસ્ત્રીજી મહારાજ,પૂર્વભૂમિકા,1,કોઠારી ગિરધરભાઈ પણ જાણે છે ? શાસ્ત્રી શુદ્ધ છે છતાં તે કેમ કાંઈ બોલતા નથી અને સાંભળી લે છે.,સાચું,ખોટું,,,ખોટું,47,કોઠારી ગોરધનભાઈ પણ જાણે છે ? શાસ્ત્રી શુદ્ધ છે છતાં તે કેમ કાંઈ બોલતા નથી અને સાંભળી લે છે.,1
3,પ્રવેશ,શાસ્ત્રીજી મહારાજ,પ્રાકટય અને આર્શીવાદ,2,"કોણ કોને કહે છે? - ""આગળ જતાં સંસાર છોડી ત્યાગી થઈ તમારા કુળનું કલ્યાણ કરશે.""",ગુણાતીતાનંદ સ્વામી-મયુરભાઈને,વૈકુંઠ બ્રહ્મચારી-ધોરીભાઈને,શુકસ્વામી-મથુરભાઈને,શુકસ્વામી - ધોરીભાઈને,શુકસ્વામી-મથુરભાઈને,2,,2
3,પ્રવેશ,શાસ્ત્રીજી મહારાજ,ચમત્કારની પરંપરા,3,"કોણ કોને કહે છે? - ""એકાદશીને દિવસે અન્ન ખાવું તે માંસ ખાધા બરાબર છે.""",ડુંગરભક્ત-મથુરભાઈને,ડુંગરભક્ત-લગ્નમાં આવેલા લગભગ ચારસો માણસોને,ડુંગરભક્ત-રાવજીભાઈને,ડુંગરભક્ત - બાળ મિત્રોને,ડુંગરભક્ત-લગ્નમાં આવેલા લગભગ ચારસો માણસોને,5,,1
3,પ્રવેશ,શાસ્ત્રીજી મહારાજ,ચમત્કારની પરંપરા,3,ડુંગર ભક્ત માટીના .............. બનાવે.,ઘર,મંદિર,રમકડાં,બંગલા,મંદિર,5,,1
3,પ્રવેશ,શાસ્ત્રીજી મહારાજ,નિર્ભયતા,4,ડુંગરભક્તને નાનપણમાં શાનું વ્યસન પડી ગયું હતુ ?,કથાવાર્તાનું,મંદિરો બનાવવાનું,રમત-ગમતનું,વાંચનનું,કથાવાર્તાનું,7,,0
3,પ્રવેશ,સત્સંગ વાંચન માળા ૧,સદ્ગુરુ બ્રહ્માનંદ સ્વામી,1,સૌ પ્રથમ વરતાલમાં મંદિર કરવાની મહારાજની આજ્ઞા થઈ ત્યાર પછી વરતાલનું મંદિર કરવા મહારાજે બ્રહ્માનંદ સ્વામીને મોકલ્યા.,ખોટું,સાચું,,,ખોટું,6,સૌ પ્રથમ અમદાવાદનું મંદિર કરવા મહારાજે બ્રહ્માનંદ સ્વામીને મોકલ્યા. ત્યાર પછી વરતાલનું મંદિર કયા મહારાજની આજ્ઞા થઈ.,0
