quiz_num,Exam Name,Book Name,Chapter Name,chapter_no,question,option0,option1,option2,option3,answer,page_no,true_sentence,answer index
1,પ્રવીણ,અક્ષર પુરુષોત્તમ ઉપાસના,ઉપાસના,1,.................... નાં સ્વરૂપને યથાર્થ સમજીને મનન દ્વારા અક્ષરબ્રહ્મનો સંગ કરીને પરબ્રહ્મની સેવા કરવી.,પરબ્રહ્મ,પુરુષોત્તમ,પરમાત્મા,અક્ષરબ્રહ્મ,અક્ષરબ્રહ્મ,3,,3
1,પ્રવીણ,અક્ષર પુરુષોત્તમ ઉપાસના,ઉપાસના,1,"શ્રીજી મહારાજે ઉપાસના સમજવા અને દૃઢ કરવા, ભગવાનની ભક્તિ કરવા આદેશ આપ્યો છે.",ખોટું,સાચું,,,ખોટું,3,"શ્રીજી મહારાજે ઉપાસના સમજવા અને દૃઢ કરવા, ભગવાનની નિષ્ઠા કરવા આદેશ આપ્યો છે.",0
1,પ્રવીણ,અક્ષર પુરુષોત્તમ ઉપાસના,કર્તા,2,"ભગવાન મનુષ્ય જેવા છે તો પણ, પોતાના અંગમાંથી .................... એ કરીને અનંત કોટિ બ્રહ્માંડ ઉત્પન્ન કરવાને સમર્થ છે.",નટની માયા,માયા,યોગ કળા,પોતાની શક્તિ,યોગ કળા,4,,2
1,પ્રવીણ,અક્ષર પુરુષોત્તમ ઉપાસના,સાકાર,3,સાકાર ન હોય તેને વિષે .................... ની પેઠે કર્તાપણું ન કહેવાય.,આકાશ,બ્રહ્મા,માયા,ભગવાન,આકાશ,14,,0
1,પ્રવીણ,અક્ષર પુરુષોત્તમ ઉપાસના,સાકાર,3,"મારું ધામ છે રે, અક્ષર અમૃત જેનું નામ; તેમાં હું રહું રે, .................... દિવ્ય સદા સાકાર",દ્વિભુજ,પ્રગટ,પુરુષોત્તમ,કર્તા,દ્વિભુજ,16,,0
1,પ્રવીણ,કિશોર સત્સંગ પ્રવીણ,શિક્ષાપત્રી ( વિશેષ નિયમો ),1,શિક્ષાપત્રીના કયા શ્લોકમાં સેવા ધર્મનો મહિમા કહ્યો છે?,116,135,139,137,139,1,,2
1,પ્રવીણ,કિશોર સત્સંગ પ્રવીણ,શિક્ષાપત્રી ( વિશેષ નિયમો ),1,આધ્યાત્મિક માર્ગનું નામું રાખવાની વાત કયા વચનામૃતમાં કરી છે?,ગ.પ્ર.૨૨,ગ.પ્ર.૩૮,ગ.પ્ર.૫૪,ગ.પ્ર.૪૪,ગ.પ્ર.૩૮,2,,1
2,પ્રવીણ,કિશોર સત્સંગ પ્રવીણ,ઉકાખાચર,3,ઉકાખાચર આખા સંપ્રદાયમાં તેમના કયા ગુણ માટે પ્રસિદ્ધ છે?,દયા અને સેવા,નિર્માનીપણા અને નિર્લોભીપણા,નિર્માનીપણા અને સેવા,દાસભાવ અને સેવા,નિર્માનીપણા અને સેવા,9,,2
2,પ્રવીણ,કિશોર સત્સંગ પ્રવીણ,અદ્ભૂતાનંદ સ્વામી,4,"કોણ કોને કહે છે? - ""તેથી જગતનાં નાશવંત સુખમાં ન રહેતા આપણું ગમતું કરવા આવ્યો છું.""",ગુણાતીતાનંદ સ્વામી-અજા પટેલને,મુક્તાનંદ સ્વામી-વજુભાઈને,શ્રીજીમહારાજ-નવા ૧૮ પરમહંસોને,શ્રીજી મહારાજ - અજા પટેલને,શ્રીજી મહારાજ - અજા પટેલને,11,,3
2,પ્રવીણ,કિશોર સત્સંગ પ્રવીણ,સાધુ અને પાર્ષદ,5,શ્રીજીમહારાજના ત્રણ પાર્ષદોના નામ જણાવો.,અલૈયા-નાજા-જીવા,અલૈયા-ભગુજી-નાજા,ભગુજી-મિંયાજી-રતનજી,ભગુજી-મિંયાજી-નાજા,ભગુજી-મિંયાજી-રતનજી,13,,2
